Gene	Description	Symbol	EC
TRIREDRAFT_57078	Serine-threonine protein kinase 19		
TRIREDRAFT_57088	STAS domain		
TRIREDRAFT_57091	Triose-phosphate Transporter family		
TRIREDRAFT_57098	Glycosyl hydrolase family 92		
TRIREDRAFT_5710	Dip2/Utp12 Family(PWP2)		
TRIREDRAFT_57100	ARID/BRIGHT DNA binding domain(RSC9)		
TRIREDRAFT_57101			
TRIREDRAFT_57112	Heterokaryon incompatibility protein (HET)		
TRIREDRAFT_57128	Glycogen debranching enzyme, glucanotransferase domain(GDB1)		2.4.1.25,3.2.1.33
TRIREDRAFT_57129	Yos1-like		
TRIREDRAFT_57140	Pfam:RRM_6		
TRIREDRAFT_57141	FAD binding domain		
TRIREDRAFT_57167	ER membrane protein SH3(CSH3)		
TRIREDRAFT_57169	Bromodomain associated		
TRIREDRAFT_57178	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)		
TRIREDRAFT_57179	Glycosyl Hydrolase Family 88		3.2.1.172
TRIREDRAFT_57185	Amino acid permease		
TRIREDRAFT_57198	Binding domain of DNA repair protein Ercc1 (rad10/Swi10)(RAD10)		
TRIREDRAFT_57204	Secretory lipase		
TRIREDRAFT_57208	Ubiquitin homologues(SMT3)		
TRIREDRAFT_57217	WD domain, G-beta repeat		
TRIREDRAFT_57220	Belongs to the histone deacetylase family. HD Type 1 subfamily(HOS2)		3.5.1.98
TRIREDRAFT_57234	thiamin pyrophosphokinase-related protein		
TRIREDRAFT_57237			
TRIREDRAFT_57252	Hinge domain of cleavage stimulation factor subunit 2		
TRIREDRAFT_57253			
TRIREDRAFT_57263	Catalyzes the 6-electron oxidation of protoporphyrinogen-IX to form protoporphyrin-IX(HEM14)		1.3.3.15,1.3.3.4
TRIREDRAFT_57274	RIC1(RIC1)		
TRIREDRAFT_57277	AdoMet dependent proline di-methyltransferase		2.1.1.244
TRIREDRAFT_57280	and ankyrin domain protein		
TRIREDRAFT_57282	Uncharacterised protein family (UPF0160)		
TRIREDRAFT_57286	Dpy-30 motif(SDC1)		
TRIREDRAFT_57287	Sel1-like repeats.(CHS4)		
TRIREDRAFT_57291	SBF-like CPA transporter family (DUF4137)(RCH1)		3.4.25.1
TRIREDRAFT_57295	Plays a role in maintenance of chromatin structure during RNA polymerase II transcription elongation thereby repressing transcription initiation from cryptic promoters. Mediates the reassembly of nucleosomes onto the promoters of at least a selected set of genes during repression(SPT6)		
TRIREDRAFT_57302	Belongs to the dihydrofolate reductase family		1.5.1.3
TRIREDRAFT_57322	Alanine-glyoxylate amino-transferase(ARO8)		2.6.1.27,2.6.1.39,2.6.1.5,2.6.1.57
TRIREDRAFT_57334	Domain Homologous to E6-AP Carboxyl Terminus with(hulA)		2.3.2.26
TRIREDRAFT_57335	VRR_NUC		3.1.4.1
TRIREDRAFT_57357	Aminomethyltransferase folate-binding domain(CAF17)		
TRIREDRAFT_5737	Tyrosine phosphatase family		3.1.3.48
TRIREDRAFT_57370	AMP-binding enzyme C-terminal domain		3.2.1.4
TRIREDRAFT_57383	Ccch zinc finger dna binding protein		
TRIREDRAFT_57391	WD domain, G-beta repeat(PRP46)		
TRIREDRAFT_57397			
TRIREDRAFT_57399	Extension to Ser/Thr-type protein kinases(TPK2)		2.7.11.11
TRIREDRAFT_57402			
TRIREDRAFT_5742	Trm112p-like protein		
TRIREDRAFT_57421	Cyclin_C(CLB2)		
TRIREDRAFT_57424	QDE-2-interacting protein		
TRIREDRAFT_57430	Glutamate-cysteine ligase(GSH1)		6.3.2.2
TRIREDRAFT_57433	Fn3-like domain		
TRIREDRAFT_57435	Spc97 / Spc98 family(SPC98)		
TRIREDRAFT_57465	Vacuolar sorting protein 9 (VPS9) domain		
TRIREDRAFT_57472			
TRIREDRAFT_57474	Protein of unknown function (DUF726)		
TRIREDRAFT_57476			
TRIREDRAFT_57488	Introduces a single-strand break via transesterification at a target site in duplex DNA. Releases the supercoiling and torsional tension of DNA introduced during the DNA replication and transcription by transiently cleaving and rejoining one strand of the DNA duplex. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand(TOP3)		5.99.1.2
TRIREDRAFT_57494	BP28CT (NUC211) domain(UTP10)		
TRIREDRAFT_57508	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family(DNM1)		3.6.5.5
TRIREDRAFT_57513	Kinase-like(SSK2)		2.7.11.25
TRIREDRAFT_57524	Amidohydrolase		
TRIREDRAFT_57526	Pheromone A receptor		
TRIREDRAFT_57527			
TRIREDRAFT_57528	Aldo/keto reductase family		1.1.1.65
TRIREDRAFT_57534	Fungal specific transcription factor domain		
TRIREDRAFT_57535	Acylphosphatase		3.6.1.7
TRIREDRAFT_57537	Rab5-interacting protein (Rab5ip)		
TRIREDRAFT_57555	Cytochrome P450		
TRIREDRAFT_57558	Uncharacterized alpha/beta hydrolase domain (DUF2235)		
TRIREDRAFT_57568	Telomere length regulation protein(TEL2)		
TRIREDRAFT_57574	Yippee zinc-binding/DNA-binding /Mis18, centromere assembly		
TRIREDRAFT_57575	Peptidase A4 family		
TRIREDRAFT_57580	Disordered region of unknown function (DUF5315)		
TRIREDRAFT_57581			
TRIREDRAFT_57592			
TRIREDRAFT_57595	Ribosomal protein L7/L12 dimerisation domain(MNP1)		
TRIREDRAFT_57600	FACT complex subunit SPT16 N-terminal lobe domain(SPT16)		3.4.11.9
TRIREDRAFT_57603	to Saccharomyces cerevisiae BNI4 (YNL233W)(BNI4)		
TRIREDRAFT_57608	HAND(ISW2)		
TRIREDRAFT_57609	HeH/LEM domain(SRC1)		
TRIREDRAFT_57613	EXOIII(rex2)		
TRIREDRAFT_57631	Negative acting factor		
TRIREDRAFT_57632	Nucleoporin Nup120/160(PWP1)		
TRIREDRAFT_57643	Major Facilitator Superfamily		
TRIREDRAFT_57647	Male sterility protein		
TRIREDRAFT_57666	CBF/Mak21 family(MAK21)		
TRIREDRAFT_57671	Phosphorylase superfamily		
TRIREDRAFT_57676	component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation(TIF34)		
TRIREDRAFT_57696			
TRIREDRAFT_5771	Dual specificity phosphatase, catalytic domain		
TRIREDRAFT_57720	Component of the SWR1 complex which mediates the ATP- dependent exchange of histone H2A for the H2A variant HZT1 leading to transcriptional regulation of selected genes by chromatin remodeling. Involved in chromosome stability(SWC5)		
TRIREDRAFT_57727	Zinc-binding domain present in Lin-11, Isl-1, Mec-3.		
TRIREDRAFT_57728	Afadin- and alpha -actinin-Binding		
TRIREDRAFT_57730	Putative Sin3 binding protein(STB3)		
TRIREDRAFT_57735	zinc finger binding to DNA consensus sequence [AT]GATA[AG]		
TRIREDRAFT_57737	PRO41 protein		
TRIREDRAFT_57749	Major Facilitator Superfamily		
TRIREDRAFT_57750	Belongs to the WD repeat coronin family(CRN1)		
TRIREDRAFT_57756	Putative DNA-binding domain in centromere protein B, mouse jerky and transposases.		
TRIREDRAFT_5776	Phosphoglucose isomerase(PGI1)		5.3.1.9
TRIREDRAFT_57760	Fungal specific transcription factor domain		
TRIREDRAFT_57776			
TRIREDRAFT_57784	Golgi membrane protein involved in vesicular trafficking(TVP23)		
TRIREDRAFT_57823	Domain of unknown function (DUF4149)		
TRIREDRAFT_57832	Required for the assembly of the V0 complex of the vacuolar ATPase (V-ATPase) in the endoplasmic reticulum(VMA21)		
TRIREDRAFT_57840	basic region leucin zipper		
TRIREDRAFT_57855			
TRIREDRAFT_57857	Glycosyl hydrolases family 2, sugar binding domain		3.2.1.25
TRIREDRAFT_57860	Belongs to the multicopper oxidase family		
TRIREDRAFT_57864	Protein of unknown function (DUF2470)		
TRIREDRAFT_57865	Modifier of rudimentary (Mod(r)) protein		
TRIREDRAFT_57868	Belongs to the pyrroline-5-carboxylate reductase family(PRO3)		1.5.1.2
TRIREDRAFT_57869	Pfam:RRM_6		
TRIREDRAFT_5787	Amino acid permease(HIP1)		
TRIREDRAFT_57870	Histone H3(CSE4)		
TRIREDRAFT_57886	Ran-binding domain		
TRIREDRAFT_5789	Belongs to the cytochrome P450 family		
TRIREDRAFT_57891	Ca2+ insensitive EF hand(ain1)		
TRIREDRAFT_57904	Mad3/BUB1 hoMad3/BUB1 homology region 1(BUB1)		2.7.11.1
TRIREDRAFT_57905	Staphylococcal nuclease homologues(LCL3)		3.1.31.1
TRIREDRAFT_57914	Serine aminopeptidase, S33		3.1.1.23
TRIREDRAFT_57923	Breast carcinoma amplified sequence 2 (BCAS2)		
TRIREDRAFT_57935	chromatin remodeling(SNF2)		
TRIREDRAFT_57936	Interferon-related developmental regulator (IFRD)		
TRIREDRAFT_57940	Alternative oxidase(AOX2)		
TRIREDRAFT_57947	Belongs to the class-II pyridoxal-phosphate-dependent aminotransferase family(HEM1)		2.3.1.37
TRIREDRAFT_57957	TATA element modulatory factor 1 DNA binding		
TRIREDRAFT_57965	DSBA-like thioredoxin domain		
TRIREDRAFT_57975	Phosphatidylinositol-specific phospholipase C, X domain		4.6.1.13
TRIREDRAFT_57997	Cofilin/tropomyosin-type actin-binding protein(ABP1)		
TRIREDRAFT_58011	C2H2-type zinc finger		
TRIREDRAFT_58016	Phosphorylase superfamily		
TRIREDRAFT_58026	Glutathione S-transferase, N-terminal domain		2.5.1.18
TRIREDRAFT_58036	Prefoldin subunit		
TRIREDRAFT_58051			
TRIREDRAFT_58055	UbiA prenyltransferase family(COQ2)		2.5.1.39
TRIREDRAFT_58058	RhoGEF domain		
TRIREDRAFT_58063	Ribosomal RNA-processing protein 7 (RRP7)		
TRIREDRAFT_58065	Centromere protein H (CENP-H)		
TRIREDRAFT_58066	Enoyl-(Acyl carrier protein) reductase		
TRIREDRAFT_58068	HAD-hyrolase-like		
TRIREDRAFT_5807	Glycosyl hydrolase family 65, N-terminal domain		3.2.1.51
TRIREDRAFT_58073	Belongs to the uroporphyrinogen decarboxylase family(HEM12)		4.1.1.37
TRIREDRAFT_58076	AP endonuclease family 2(APN1)		4.2.99.18
TRIREDRAFT_58077			
TRIREDRAFT_58114			
TRIREDRAFT_58115	Ankyrin repeats (many copies)		
TRIREDRAFT_58117	Glycoside hydrolase family 89		3.2.1.50
TRIREDRAFT_58119	Inhibitor of growth proteins N-terminal histone-binding		
TRIREDRAFT_5812	Aldo/keto reductase family		1.1.1.65
TRIREDRAFT_58125	Proteasome subunit(PUP3)		3.4.25.1
TRIREDRAFT_58130	helix loop helix domain		
TRIREDRAFT_58150	Belongs to the peptidase C19 family		3.4.19.12
TRIREDRAFT_58158	OPT oligopeptide transporter protein		
TRIREDRAFT_58161	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.		
TRIREDRAFT_58162	Ceramidase(YDC1)		
TRIREDRAFT_58170	Choline/ethanolamine kinase		2.7.1.82
TRIREDRAFT_5818	DSBA-like thioredoxin domain		
TRIREDRAFT_58183	Domain in DAP-5, eIF4G, MA-3 and other proteins.(CWC22)		
TRIREDRAFT_58184	DNA polymerase alpha/epsilon subunit B(DPB2)		2.7.7.7
TRIREDRAFT_58188	Chitin synthase(CHS3)		2.4.1.16
TRIREDRAFT_58191	Leucine-rich repeats, typical (most populated) subfamily(SOG2)		
TRIREDRAFT_58201	Belongs to the complex I 20 kDa subunit family		1.6.5.3,1.6.99.3
TRIREDRAFT_58205	Lipopolysaccharide kinase (Kdo/WaaP) family(BUD32)		2.7.11.1
TRIREDRAFT_58213	ATP-dependent DNA helicase II subunit 2(YKU80)		
TRIREDRAFT_58220	Major Facilitator Superfamily		
TRIREDRAFT_58225	SNF2 family N-terminal domain		
TRIREDRAFT_58227	Acetyltransferase (GNAT) domain		
TRIREDRAFT_58229	Ubiquitin homologues(HUB1)		
TRIREDRAFT_58239	Glycosyl hydrolases family 16(CRH1)		3.2.1.73
TRIREDRAFT_58244			
TRIREDRAFT_58264	Eukaryotic protein of unknown function (DUF829)		
TRIREDRAFT_58267	Dihydrouridine synthase (Dus)(dus2)		1.3.1.91
TRIREDRAFT_58282	Amidohydrolase family		
TRIREDRAFT_58285	Pfam:HxxPF_rpt		
TRIREDRAFT_58289	Zinc-binding dehydrogenase		
TRIREDRAFT_58296	Major Facilitator Superfamily		
TRIREDRAFT_58299	Histone-binding protein RBBP4 or subunit C of CAF1 complex(rrb1)		
TRIREDRAFT_58321	Ubiquitin-conjugating enzyme E2, catalytic domain homologues		2.3.2.23
TRIREDRAFT_58333	FAD binding domain		
TRIREDRAFT_58356	Belongs to the FGGY kinase family(GUT1)		2.7.1.30
TRIREDRAFT_5836	Glycosyl hydrolases family 2(mndA)		3.2.1.25
TRIREDRAFT_58361	Dual specificity phosphatase, catalytic domain		
TRIREDRAFT_58363	Diphthamide synthase		6.3.1.14
TRIREDRAFT_58366	ATPase family associated with various cellular activities (AAA)		
TRIREDRAFT_58370	ATPase domain of DNA mismatch repair MUTS family(msh1)		
TRIREDRAFT_58381	Protein of unknown function (DUF1445)		
TRIREDRAFT_58387	Serine aminopeptidase, S33		
TRIREDRAFT_58389	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain		
TRIREDRAFT_58391	WD40 domain-containing protein		
TRIREDRAFT_58396	Tetratricopeptide repeat		
TRIREDRAFT_58404	Mediates the uptake of pyruvate into mitochondria		
TRIREDRAFT_58405	zinc finger		
TRIREDRAFT_58412	Zinc-binding dehydrogenase		1.1.1.2
TRIREDRAFT_58418	Beta-lactamase		
TRIREDRAFT_58421	Belongs to the oxygen-dependent FAD-linked oxidoreductase family		
TRIREDRAFT_58427	Belongs to the DEAD box helicase family(DBP2)		3.6.4.13
TRIREDRAFT_58428	Involved in ribosomal large subunit assembly(RRS1)		
TRIREDRAFT_58431	Isochorismatase family		
TRIREDRAFT_5844	Uncharacterised protein family (UPF0261)		
TRIREDRAFT_58442			
TRIREDRAFT_58450	Fibronectin type III-like domain		3.2.1.37
TRIREDRAFT_58456	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain		
TRIREDRAFT_58466	Alcohol dehydrogenase GroES-like domain		1.1.1.2
TRIREDRAFT_5847			
TRIREDRAFT_58472	Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide(CAT1)		1.11.1.6
TRIREDRAFT_58475	OTT_1508-like deaminase		
TRIREDRAFT_58476	Belongs to the protein kinase superfamily(ENV7)		2.7.11.1
TRIREDRAFT_58479	Oxidoreductase family, NAD-binding Rossmann fold		
TRIREDRAFT_58489	OHCU decarboxylase		
TRIREDRAFT_5849	Haem-degrading		
TRIREDRAFT_58492	Transmembrane proteins 14C		
TRIREDRAFT_58493	Cytochrome c oxidase subunit Vb(COX4)		
TRIREDRAFT_5850	MobA-like NTP transferase domain		2.7.7.13
TRIREDRAFT_58505	Cytochrome P450		
TRIREDRAFT_58509	RNA ligase(LIG4)		6.5.1.1
TRIREDRAFT_58511	Amino acid permease		
TRIREDRAFT_58519	Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane		
TRIREDRAFT_58521	Ribosomal protein L11 methyltransferase (PrmA)		
TRIREDRAFT_58525	Alginate lyase		
TRIREDRAFT_58535			
TRIREDRAFT_58539	Mitochondrial ribosomal death-associated protein 3		
TRIREDRAFT_58541	Domain of unknown function (DUF4110)(KEL3)		
TRIREDRAFT_58549	Dopey, N-terminal		
TRIREDRAFT_5855	NmrA-like family		
TRIREDRAFT_58550	GlcNAc-PI de-N-acetylase		3.5.1.89
TRIREDRAFT_58560	Sugar (and other) transporter		
TRIREDRAFT_58561	Sugar (and other) transporter		
TRIREDRAFT_58563	Cupin		
TRIREDRAFT_58574	Carbonic anhydrase		4.2.1.1
TRIREDRAFT_58580	Belongs to the iron ascorbate-dependent oxidoreductase family		
TRIREDRAFT_58584	Belongs to the MIP aquaporin (TC 1.A.8) family(FPS1)		
TRIREDRAFT_58587	Sigma factor PP2C-like phosphatases(MgPP2CL-1)		3.1.3.16
TRIREDRAFT_58601	Domain of unknown function (DUF3328)		
TRIREDRAFT_58602			
TRIREDRAFT_58603	Sterile alpha motif.		
TRIREDRAFT_58607	CrcB-like protein, Camphor Resistance (CrcB)		
TRIREDRAFT_58609	Anp1(MNN9)		2.4.1.232
TRIREDRAFT_58612	Oxysterol-binding protein(OSH6)		
TRIREDRAFT_58613	Belongs to the thiamine pyrophosphokinase family(THI80)		2.7.6.2
TRIREDRAFT_58627	helicase superfamily c-terminal domain(DBP9)		3.6.4.13
TRIREDRAFT_58628	zinc finger		
TRIREDRAFT_5863	Enoyl-CoA hydratase/isomerase		
TRIREDRAFT_58631	HIRAN(RAD5)		
TRIREDRAFT_58634	Domain of unknown function (DUF3844)		
TRIREDRAFT_58636	Trafficking protein Mon1(MON1)		
TRIREDRAFT_58638	Component of the endosomal sorting complex required for transport II (ESCRT-II), which is required for multivesicular body (MVB) formation and sorting of endosomal cargo proteins into MVBs(dot2)		
TRIREDRAFT_58639			
TRIREDRAFT_58640	Required for mitochondrial cytochrome c oxidase (COX) assembly and respiration		
TRIREDRAFT_58651	Plays an important role in the de novo pathway and in the salvage pathway of purine nucleotide biosynthesis. Catalyzes the first commited step in the biosynthesis of AMP from IMP(ADE12)		6.3.4.4
TRIREDRAFT_58654	Prenyltransferase and squalene oxidase repeat(BET2)		2.5.1.60
TRIREDRAFT_58658	Uncharacterized conserved protein (DUF2075)		3.6.4.12
TRIREDRAFT_58669	Belongs to the peptidase A1 family		
TRIREDRAFT_58672	NAD dependent epimerase/dehydratase family		
TRIREDRAFT_58675	Aldo/keto reductase family		
TRIREDRAFT_5868	R3H domain(PIN4)		
TRIREDRAFT_58689	Cytochrome P450		1.14.19.41
TRIREDRAFT_58694	WD domain, G-beta repeat		
TRIREDRAFT_58696	DEAD-like helicases superfamily		2.7.7.7
TRIREDRAFT_58698	Belongs to the peptidase S8 family(alp)		3.4.21.63
TRIREDRAFT_58699			
TRIREDRAFT_58701	Phosphomannose isomerase type I		5.3.1.8
TRIREDRAFT_5871			
TRIREDRAFT_58717	Beta-lactamase		
TRIREDRAFT_58731			
TRIREDRAFT_58734	Prefoldin subunit(GIM4)		
TRIREDRAFT_58746	Mitochondrial ATPase expression		
TRIREDRAFT_58753	Domain of unknown function (DUF1932)		
TRIREDRAFT_58765	Fungal specific transcription factor domain		
TRIREDRAFT_58767			
TRIREDRAFT_58772	Cytochrome P450		
TRIREDRAFT_58774			
TRIREDRAFT_58783	Alpha/beta hydrolase family		
TRIREDRAFT_58790	Haloacid dehalogenase-like hydrolase(GPP1)		3.1.3.21,3.1.3.68
TRIREDRAFT_58802	Glycosyl hydrolase family 65, N-terminal domain		
TRIREDRAFT_58804	Rad9		3.1.11.2
TRIREDRAFT_58814	Conserved hypothetical protein		
TRIREDRAFT_58815	Pyridine nucleotide-disulphide oxidoreductase(NDE1)		1.6.5.9
TRIREDRAFT_58823			
TRIREDRAFT_58837	MoaC family		4.1.99.22,4.6.1.17
TRIREDRAFT_58848	Endoribonuclease L-PSP		
TRIREDRAFT_58851	A domain family that is part of the cupin metalloenzyme superfamily.		
TRIREDRAFT_58853			
TRIREDRAFT_58856	Phosducin		
TRIREDRAFT_58857	ACT domain		
TRIREDRAFT_58867	spectrin binding		
TRIREDRAFT_58869	CSL zinc finger(DPH4)		
TRIREDRAFT_5888	Amidase		3.5.1.4
TRIREDRAFT_58880			
TRIREDRAFT_58885	Amidohydrolase family		
TRIREDRAFT_58887	Glycoside hydrolase family 78		
TRIREDRAFT_5889	Amidohydrolase		4.1.1.46
TRIREDRAFT_58897	Zinc finger, C2H2 type		
TRIREDRAFT_58899	ABC transporter transmembrane region		3.6.3.44
TRIREDRAFT_5890	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family		
TRIREDRAFT_58910	Phosphorylase superfamily		
TRIREDRAFT_58918	Fungal specific transcription factor domain		
TRIREDRAFT_58928	DUF4208(hrp3)		3.6.4.12
TRIREDRAFT_5894	Oxidoreductase family, NAD-binding Rossmann fold		1.1.99.28
TRIREDRAFT_58952	This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium(PMC1)		3.6.3.8
TRIREDRAFT_58953	Belongs to the cytochrome P450 family		
TRIREDRAFT_58960	DNA replication regulator SLD3		
TRIREDRAFT_58971	RNA cap guanine-N2 methyltransferase(tgs1)		
TRIREDRAFT_58976	RNA polymerase I specific transcription initiation factor RRN3(RRN3)		
TRIREDRAFT_5898	Metaphase-anaphase transition protein (Mlo2)		2.3.2.27
TRIREDRAFT_58989	Acetyltransferase (GNAT) domain		
TRIREDRAFT_5899	Mini-chromosome maintenance protein 2(MCM2)		3.6.4.12
TRIREDRAFT_58990	SNARE required for protein transport between the ER and the Golgi complex(BOS1)		
TRIREDRAFT_59002	Belongs to the short-chain dehydrogenases reductases (SDR) family		
TRIREDRAFT_59014	Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily		
TRIREDRAFT_59023	Iron/manganese superoxide dismutases, C-terminal domain		1.15.1.1
TRIREDRAFT_59028	Heterokaryon incompatibility protein (HET)		
TRIREDRAFT_59042	CLIP1 zinc knuckle		
TRIREDRAFT_59050	ankyrin repeat protein		
TRIREDRAFT_59053	Adenosine/AMP deaminase		3.5.4.4
TRIREDRAFT_59056	Thioesterase-like superfamily		
TRIREDRAFT_59062	DUF1771		
TRIREDRAFT_59065			
TRIREDRAFT_59067	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain(ARO80)		
TRIREDRAFT_59068	TENA/THI-4/PQQC family(THI20)		2.7.1.49,2.7.4.7,3.5.99.2
TRIREDRAFT_59070	Peroxisome biogenesis factor 1, N-terminal(PEX1)		
TRIREDRAFT_59073	Protein of unknown function (DUF521)		
TRIREDRAFT_59078			
TRIREDRAFT_59081	Aminotransferase class-V		4.4.1.16,4.4.1.36
TRIREDRAFT_59082	Glycoside hydrolase family 18		3.2.1.14
TRIREDRAFT_59095	FAD binding domain		1.14.13.1
TRIREDRAFT_59098	Rapamycin-insensitive companion of mTOR, domain 5		
TRIREDRAFT_59100	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in mitochondrial tRNAs that read codons beginning with adenine. Probably involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37. Involved in mitochondrial genome maintenance		
TRIREDRAFT_59105	C-terminal duplication domain of Friend of PRMT1		
TRIREDRAFT_59112			
TRIREDRAFT_59119	Amidohydrolase family		
TRIREDRAFT_5912	Belongs to the ATG13 family. Fungi subfamily(ATG13)		
TRIREDRAFT_59137	Family of unknown function (DUF5353)		
TRIREDRAFT_59147	Endonuclease/Exonuclease/phosphatase family(APN2)		4.2.99.18
TRIREDRAFT_59151	Blastomyces yeast-phase-specific protein		
TRIREDRAFT_59152	Domain of unknown function (DUF427)		
TRIREDRAFT_5916	Belongs to the MYST (SAS MOZ) family(SAS3)		2.3.1.48
TRIREDRAFT_59166	Mob1/phocein family(MOB2)		
TRIREDRAFT_59168	PFU (PLAA family ubiquitin binding)(lub1)		
TRIREDRAFT_5917	Plays a central role in 2-thiolation of mcm(5)S(2)U at tRNA wobble positions of tRNA(Lys), tRNA(Glu) and tRNA(Gln). Directly binds tRNAs and probably acts by catalyzing adenylation of tRNAs, an intermediate required for 2-thiolation. It is unclear whether it acts as a sulfurtransferase that transfers sulfur from thiocarboxylated URM1 onto the uridine of tRNAs at wobble position. Prior mcm(5) tRNA modification by the elongator complex is required for 2-thiolation. May also be involved in protein urmylation(CTU1)		
TRIREDRAFT_59173	Major Facilitator Superfamily		
TRIREDRAFT_59184	DSHCT(SKI2)		
TRIREDRAFT_59188	lysr family regulatory protein		
TRIREDRAFT_59190	Major Facilitator Superfamily		
TRIREDRAFT_59196	Belongs to the short-chain dehydrogenases reductases (SDR) family		
TRIREDRAFT_59197			
TRIREDRAFT_59205	Pfam:RRM_6		
TRIREDRAFT_59232	ATPase family associated with various cellular activities (AAA)(AFG2)		
TRIREDRAFT_59234	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain		
TRIREDRAFT_5924			
TRIREDRAFT_59244	Pregnancy-associated plasma protein-A		
TRIREDRAFT_59248	U3-containing 90S pre-ribosomal complex subunit(cms1)		
TRIREDRAFT_59267	Belongs to the TPP enzyme family		4.1.1.1
TRIREDRAFT_5927	Fungal specific transcription factor domain(RGT1)		
TRIREDRAFT_59270	zinc finger		
TRIREDRAFT_59272	Major Facilitator Superfamily		
TRIREDRAFT_59280	Functions as actin-binding component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks. Seems to contact the mother actin filament(ARC19)		
TRIREDRAFT_59296	Anaphase-promoting complex subunit 5(apc5)		
TRIREDRAFT_59302	PH domain-containing protein		
TRIREDRAFT_59315	Pfam:HxxPF_rpt		
TRIREDRAFT_59322	Zinc-binding dehydrogenase		
TRIREDRAFT_59333	Major Facilitator Superfamily		
TRIREDRAFT_59338	Amino-transferase class IV		
TRIREDRAFT_59346	Fibronectin type III domain		
TRIREDRAFT_59351	Aminotransferase class I and II		
TRIREDRAFT_59352	Cytochrome P450		
TRIREDRAFT_59353	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain		
TRIREDRAFT_59354	Fungal specific transcription factor domain		
TRIREDRAFT_59359	Cysteine-rich motif following a subset of SET domains		2.1.1.43,2.3.1.225
TRIREDRAFT_59362	Common central domain of tyrosinase		
TRIREDRAFT_59364	OPT oligopeptide transporter protein		
TRIREDRAFT_59368	Serine hydrolase (FSH1)		
TRIREDRAFT_59372	Hemerythrin HHE cation binding domain		
TRIREDRAFT_59377	Belongs to the cytochrome P450 family		
TRIREDRAFT_59381	Methyltransferase domain		
TRIREDRAFT_59382	GMC oxidoreductase		
TRIREDRAFT_59384	His Kinase A (phosphoacceptor) domain		
TRIREDRAFT_59388	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family		
TRIREDRAFT_59391	Belongs to the glycosyl hydrolase 27 family		3.2.1.22
TRIREDRAFT_59396	L-lysine 6-monooxygenase (NADPH-requiring)		1.14.13.22
TRIREDRAFT_59402	Rhodanese Homology Domain		
TRIREDRAFT_59417	impB/mucB/samB family(RAD30)		2.7.7.7
TRIREDRAFT_5942	O-acetyl-ADP-ribose deacetylase activity		
TRIREDRAFT_59434	GAT domain		
TRIREDRAFT_59435	GRIP domain(IMH1)		
TRIREDRAFT_59472	Belongs to the mitochondrial carrier (TC 2.A.29) family(RIM2)		
TRIREDRAFT_59482	Beta-ketoacyl synthase		
TRIREDRAFT_59491	to nucleoside-diphosphate-sugar epimerases		
TRIREDRAFT_59508	Belongs to the type-B carboxylesterase lipase family		
TRIREDRAFT_59515	Major Facilitator Superfamily(HOL1)		
TRIREDRAFT_59542	GDP/GTP exchange factor Sec2p(SEC2)		
TRIREDRAFT_59544	SEN1 N terminal(SEN1)		
TRIREDRAFT_59546	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain		
TRIREDRAFT_59549	Peptidase family M20/M25/M40		
TRIREDRAFT_59553	Coiled-coil domain containing protein (DUF2052)		
TRIREDRAFT_59558	Uncharacterized protein conserved in bacteria (DUF2236)		
TRIREDRAFT_59578	Glycoside hydrolase family 13		3.2.1.10
TRIREDRAFT_59579	Tim44-like domain		
